
2023/09/27 (11:03:04) | ===> btop++ v.1.2.13
2023/09/27 (11:03:04) | INFO: Logger set to DEBUG
2023/09/27 (11:03:04) | DEBUG: Using locale en_US.UTF-8
2023/09/27 (11:03:04) | INFO: Running on /dev/pts/0
2023/09/27 (11:03:04) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme

2023/09/30 (17:28:52) | ===> btop++ v.1.2.13
2023/09/30 (17:28:52) | INFO: Logger set to DEBUG
2023/09/30 (17:28:52) | DEBUG: Using locale en_US.UTF-8
2023/09/30 (17:28:52) | INFO: Running on /dev/pts/0
2023/09/30 (17:28:52) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme

2023/10/01 (17:02:42) | ===> btop++ v.1.2.13
2023/10/01 (17:02:42) | INFO: Logger set to DEBUG
2023/10/01 (17:02:42) | DEBUG: Using locale en_US.UTF-8
2023/10/01 (17:02:42) | INFO: Running on /dev/pts/2
2023/10/01 (17:02:42) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme

2023/10/02 (18:19:09) | ===> btop++ v.1.2.13
2023/10/02 (18:19:09) | INFO: Logger set to DEBUG
2023/10/02 (18:19:09) | DEBUG: Using locale en_US.UTF-8
2023/10/02 (18:19:09) | INFO: Running on /dev/pts/7
2023/10/02 (18:19:09) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme

2023/10/02 (18:49:53) | ===> btop++ v.1.2.13
2023/10/02 (18:49:53) | INFO: Logger set to DEBUG
2023/10/02 (18:49:53) | DEBUG: Using locale en_US.UTF-8
2023/10/02 (18:49:53) | INFO: Running on /dev/pts/4
2023/10/02 (18:49:53) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme

2023/10/02 (19:11:45) | ===> btop++ v.1.2.13
2023/10/02 (19:11:45) | INFO: Logger set to DEBUG
2023/10/02 (19:11:45) | DEBUG: Using locale en_US.UTF-8
2023/10/02 (19:11:45) | INFO: Running on /dev/pts/3
2023/10/02 (19:11:45) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme

2023/10/02 (21:27:55) | ===> btop++ v.1.2.13
2023/10/02 (21:27:55) | INFO: Logger set to DEBUG
2023/10/02 (21:27:55) | DEBUG: Using locale en_US.UTF-8
2023/10/02 (21:27:55) | INFO: Running on /dev/pts/4
2023/10/02 (21:27:55) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme

2023/10/02 (21:46:02) | ===> btop++ v.1.2.13
2023/10/02 (21:46:02) | INFO: Logger set to DEBUG
2023/10/02 (21:46:02) | DEBUG: Using locale en_US.UTF-8
2023/10/02 (21:46:02) | INFO: Running on /dev/pts/2
2023/10/02 (21:46:02) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme
2023/10/02 (21:46:18) | DEBUG: Writing new config file
2023/10/02 (21:46:18) | INFO: Quitting! Runtime: 00:00:16

2023/10/02 (21:46:20) | ===> btop++ v.1.2.13
2023/10/02 (21:46:20) | INFO: Logger set to DEBUG
2023/10/02 (21:46:20) | DEBUG: Using locale en_US.UTF-8
2023/10/02 (21:46:20) | INFO: Running on /dev/pts/2
2023/10/02 (21:46:21) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme
2023/10/02 (21:46:27) | DEBUG: Writing new config file
2023/10/02 (21:46:27) | INFO: Quitting! Runtime: 00:00:07

2023/10/02 (21:46:32) | ===> btop++ v.1.2.13
2023/10/02 (21:46:32) | INFO: Logger set to DEBUG
2023/10/02 (21:46:32) | DEBUG: Using locale en_US.UTF-8
2023/10/02 (21:46:32) | INFO: Running on /dev/pts/2
